iter	Passed	Remaining
0	1	188
1	3	188
2	5	185
3	7	168
4	8	163
5	10	158
6	11	155
7	13	152
8	14	150
9	16	148
10	18	149
11	20	148
12	21	146
13	23	143
14	25	141
15	26	139
16	28	137
17	29	135
18	31	133
19	33	133
20	34	131
21	36	129
22	38	127
23	39	125
24	41	124
25	42	122
26	44	120
27	48	125
28	50	124
29	52	123
30	54	121
31	56	120
32	58	118
33	60	116
34	62	115
35	64	113
36	65	111
37	67	109
38	68	107
39	70	105
40	71	103
41	72	100
42	74	98
43	76	97
44	78	95
45	79	93
46	81	91
47	83	90
48	84	88
49	87	87
50	89	85
51	91	84
52	92	82
53	94	80
54	95	78
55	97	76
56	98	74
57	100	72
58	102	71
59	104	69
60	106	68
61	108	66
62	110	65
63	114	64
64	116	62
65	117	60
66	125	61
67	127	60
68	129	58
69	130	56
70	132	54
71	136	53
72	138	51
73	140	49
74	142	47
75	143	45
76	145	43
77	146	41
78	149	39
79	151	37
80	153	35
81	154	33
82	156	32
83	157	30
84	159	28
85	161	26
86	163	24
87	166	22
88	168	20
89	169	18
90	171	16
91	173	15
92	174	13
93	176	11
94	179	9
95	180	7
96	182	5
97	184	3
98	185	1
99	187	0
